GEOID10,STATE,COUNTY,land_sqmi,dens2010
13001,Georgia,Appling,507.08,35.96
13003,Georgia,Atkinson,339.38,24.68
13005,Georgia,Bacon,258.58,42.91
13007,Georgia,Baker,341.94,10.09
13009,Georgia,Baldwin,257.84,177.32
13011,Georgia,Banks,232.09,79.26
13013,Georgia,Barrow,160.31,432.71
13015,Georgia,Bartow,459.54,217.95
13017,Georgia,Ben Hill,250.12,70.50
13019,Georgia,Berrien,451.90,42.68
13021,Georgia,Bibb,249.76,622.78
13023,Georgia,Bleckley,215.87,60.51
13025,Georgia,Brantley,442.36,41.62
13027,Georgia,Brooks,493.05,32.94
13029,Georgia,Bryan,435.97,69.35
13031,Georgia,Bulloch,672.81,104.36
13033,Georgia,Burke,826.97,28.19
13035,Georgia,Butts,184.39,128.29
13037,Georgia,Calhoun,280.37,23.88
13039,Georgia,Camden,613.03,82.40
13043,Georgia,Candler,243.04,45.25
13045,Georgia,Carroll,499.08,221.46
13047,Georgia,Catoosa,162.16,394.32
13049,Georgia,Charlton,773.58,15.73
13051,Georgia,Chatham,426.44,621.73
13053,Georgia,Chattahoochee,248.74,45.30
13055,Georgia,Chattooga,313.34,83.03
13057,Georgia,Cherokee,421.67,508.32
13059,Georgia,Clarke,119.20,979.14
13061,Georgia,Clay,195.38,16.29
13063,Georgia,Clayton,141.57,1832.48
13065,Georgia,Clinch,800.22,8.50
13067,Georgia,Cobb,339.55,2026.45
13069,Georgia,Coffee,575.10,73.65
13071,Georgia,Colquitt,544.15,83.61
13073,Georgia,Columbia,290.09,427.64
13075,Georgia,Cook,227.16,75.77
13077,Georgia,Coweta,440.89,288.77
13079,Georgia,Crawford,324.89,38.87
13081,Georgia,Crisp,272.58,85.99
13083,Georgia,Dade,173.98,95.60
13085,Georgia,Dawson,210.83,105.91
13087,Georgia,Decatur,597.14,46.63
13089,Georgia,DeKalb,267.58,2585.72
13091,Georgia,Dodge,495.89,43.95
13093,Georgia,Dooly,391.94,38.06
13095,Georgia,Dougherty,328.69,287.70
13097,Georgia,Douglas,200.07,661.79
13099,Georgia,Early,512.59,21.48
13101,Georgia,Echols,414.89,9.72
13103,Georgia,Effingham,477.70,109.38
13105,Georgia,Elbert,351.06,57.44
13107,Georgia,Emanuel,680.60,33.20
13109,Georgia,Evans,182.85,60.16
13111,Georgia,Fannin,386.72,61.24
13113,Georgia,Fayette,194.34,548.35
13115,Georgia,Floyd,509.91,188.89
13117,Georgia,Forsyth,224.02,783.46
13119,Georgia,Franklin,261.50,84.45
13121,Georgia,Fulton,526.63,1748.05
13123,Georgia,Gilmer,426.54,66.33
13125,Georgia,Glascock,143.74,21.44
13127,Georgia,Glynn,419.75,189.70
13129,Georgia,Gordon,355.81,155.10
13131,Georgia,Grady,454.53,55.03
13133,Georgia,Greene,387.44,41.28
13135,Georgia,Gwinnett,430.38,1871.17
13137,Georgia,Habersham,276.74,155.53
13139,Georgia,Hall,392.78,457.47
13141,Georgia,Hancock,471.84,19.98
13143,Georgia,Haralson,282.17,102.00
13145,Georgia,Harris,463.87,69.04
13147,Georgia,Hart,232.39,108.49
13149,Georgia,Heard,296.03,39.98
13151,Georgia,Henry,322.13,633.05
13153,Georgia,Houston,375.54,372.53
13155,Georgia,Irwin,354.34,26.92
13157,Georgia,Jackson,339.66,178.07
13159,Georgia,Jasper,368.16,37.75
13161,Georgia,Jeff Davis,330.74,45.56
13163,Georgia,Jefferson,526.48,32.16
13165,Georgia,Jenkins,347.28,24.02
13167,Georgia,Johnson,303.01,32.94
13169,Georgia,Jones,393.93,72.78
13171,Georgia,Lamar,183.50,99.82
13173,Georgia,Lanier,185.26,54.40
13175,Georgia,Laurens,807.30,60.00
13177,Georgia,Lee,355.78,79.54
13179,Georgia,Liberty,489.80,129.55
13181,Georgia,Lincoln,210.38,38.01
13183,Georgia,Long,400.29,36.13
13185,Georgia,Lowndes,496.07,220.20
13187,Georgia,Lumpkin,282.93,105.91
13189,Georgia,McDuffie,257.46,84.96
13191,Georgia,McIntosh,424.30,33.78
13193,Georgia,Macon,400.64,36.79
13195,Georgia,Madison,282.31,99.61
13197,Georgia,Marion,366.00,23.89
13199,Georgia,Meriwether,501.22,43.88
13201,Georgia,Miller,282.42,21.69
13205,Georgia,Mitchell,512.08,45.89
13207,Georgia,Monroe,395.66,66.78
13209,Georgia,Montgomery,239.52,38.09
13211,Georgia,Morgan,347.35,51.44
13213,Georgia,Murray,344.47,115.04
13215,Georgia,Muscogee,216.39,877.53
13217,Georgia,Newton,272.16,367.27
13219,Georgia,Oconee,184.29,178.02
13221,Georgia,Oglethorpe,439.01,33.94
13223,Georgia,Paulding,312.22,455.85
13225,Georgia,Peach,150.27,184.30
13227,Georgia,Pickens,232.06,126.83
13229,Georgia,Pierce,316.49,59.27
13231,Georgia,Pike,216.09,82.69
13233,Georgia,Polk,310.33,133.65
13235,Georgia,Pulaski,249.03,48.23
13237,Georgia,Putnam,344.64,61.57
13239,Georgia,Quitman,151.24,16.62
13241,Georgia,Rabun,369.99,43.99
13243,Georgia,Randolph,428.24,18.03
13245,Georgia,Richmond,324.33,618.36
13247,Georgia,Rockdale,129.79,656.55
13249,Georgia,Schley,166.91,30.02
13251,Georgia,Screven,645.10,22.62
13253,Georgia,Seminole,235.23,37.11
13255,Georgia,Spalding,196.47,326.12
13257,Georgia,Stephens,179.13,146.12
13259,Georgia,Stewart,458.73,13.21
13261,Georgia,Sumter,482.70,67.99
13263,Georgia,Talbot,391.39,17.54
13265,Georgia,Taliaferro,194.61,8.82
13267,Georgia,Tattnall,479.40,53.23
13269,Georgia,Taylor,376.69,23.64
13271,Georgia,Telfair,437.30,37.73
13273,Georgia,Terrell,335.44,27.77
13275,Georgia,Thomas,544.60,82.12
13277,Georgia,Tift,258.91,154.95
13279,Georgia,Toombs,364.00,74.79
13281,Georgia,Towns,166.56,62.87
13283,Georgia,Treutlen,199.44,34.52
13285,Georgia,Troup,413.99,161.95
13287,Georgia,Turner,285.39,31.29
13289,Georgia,Twiggs,358.40,25.18
13291,Georgia,Union,321.93,66.34
13293,Georgia,Upson,323.44,83.95
13295,Georgia,Walker,446.38,154.03
13297,Georgia,Walton,325.68,257.21
13299,Georgia,Ware,892.46,40.69
13301,Georgia,Warren,284.30,20.52
13303,Georgia,Washington,678.45,31.23
13305,Georgia,Wayne,641.78,46.90
13307,Georgia,Webster,209.12,13.38
13309,Georgia,Wheeler,295.48,25.11
13311,Georgia,White,240.69,112.78
13313,Georgia,Whitfield,290.46,353.23
13315,Georgia,Wilcox,377.70,24.50
13317,Georgia,Wilkes,469.49,22.56
13319,Georgia,Wilkinson,447.31,21.38
13321,Georgia,Worth,570.70,37.99
15001,Hawaii,Hawaii,4028.42,45.94
15003,Hawaii,Honolulu,600.74,1586.71
15005,Hawaii,Kalawao,11.99,7.51
15007,Hawaii,Kauai,619.96,108.22
15009,Hawaii,Maui,1161.52,133.30
16001,Idaho,Ada,1052.58,372.77
16003,Idaho,Adams,1363.06,2.92
16005,Idaho,Bannock,1111.99,74.50
16007,Idaho,Bear Lake,974.78,6.14
16009,Idaho,Benewah,776.62,11.96
16011,Idaho,Bingham,2093.98,21.78
16013,Idaho,Blaine,2643.59,8.09
16015,Idaho,Boise,1899.24,3.70
16017,Idaho,Bonner,1734.57,23.57
16019,Idaho,Bonneville,1866.08,55.86
16021,Idaho,Boundary,1268.56,8.65
16023,Idaho,Butte,2231.67,1.30
16025,Idaho,Camas,1074.49,1.04
16027,Idaho,Canyon,587.37,321.64
16029,Idaho,Caribou,1764.15,3.95
16031,Idaho,Cassia,2565.08,8.95
16033,Idaho,Clark,1764.19,0.56
16035,Idaho,Clearwater,2457.27,3.57
16037,Idaho,Custer,4920.94,0.89
16039,Idaho,Elmore,3074.74,8.79
16041,Idaho,Franklin,663.64,19.27
16043,Idaho,Fremont,1863.53,7.11
16045,Idaho,Gem,560.90,29.81
16047,Idaho,Gooding,728.97,21.21
16049,Idaho,Idaho,8477.35,1.92
16051,Idaho,Jefferson,1093.50,23.90
16053,Idaho,Jerome,597.18,37.47
16055,Idaho,Kootenai,1244.12,111.32
16057,Idaho,Latah,1076.00,34.61
16059,Idaho,Lemhi,4563.39,1.74
16061,Idaho,Lewis,478.80,7.98
16063,Idaho,Lincoln,1201.41,4.33
16065,Idaho,Madison,469.21,80.00
16067,Idaho,Minidoka,757.59,26.49
16069,Idaho,Nez Perce,848.09,46.30
16071,Idaho,Oneida,1200.06,3.57
16073,Idaho,Owyhee,7665.51,1.50
16075,Idaho,Payette,406.87,55.60
16077,Idaho,Power,1404.24,5.57
16079,Idaho,Shoshone,2629.66,4.85
16081,Idaho,Teton,449.46,22.63
16083,Idaho,Twin Falls,1921.21,40.20
16085,Idaho,Valley,3664.52,2.69
16087,Idaho,Washington,1452.98,7.02
17001,Illinois,Adams,855.20,78.46
17003,Illinois,Alexander,235.51,34.98
17005,Illinois,Bond,380.28,46.72
17007,Illinois,Boone,280.72,192.95
17009,Illinois,Brown,305.61,22.70
17011,Illinois,Bureau,869.03,40.25
17013,Illinois,Calhoun,253.82,20.05
17015,Illinois,Carroll,444.81,34.59
17017,Illinois,Cass,375.82,36.30
17019,Illinois,Champaign,996.27,201.83
17021,Illinois,Christian,709.38,49.06
17023,Illinois,Clark,501.42,32.58
17025,Illinois,Clay,468.32,29.50
17027,Illinois,Clinton,474.08,79.65
17029,Illinois,Coles,508.29,105.99
17031,Illinois,Cook,945.33,5495.11
17033,Illinois,Crawford,443.63,44.67
17035,Illinois,Cumberland,346.02,31.93
17037,Illinois,DeKalb,631.31,166.58
17039,Illinois,De Witt,397.51,41.66
17041,Illinois,Douglas,416.66,47.95
17043,Illinois,Dupage,327.50,2799.78
17045,Illinois,Edgar,623.37,29.80
17047,Illinois,Edwards,222.42,30.22
17049,Illinois,Effingham,478.78,71.52
17051,Illinois,Fayette,716.48,30.90
17053,Illinois,Ford,485.62,29.00
17055,Illinois,Franklin,408.89,96.75
17057,Illinois,Fulton,865.59,42.82
17059,Illinois,Gallatin,323.07,17.30
17061,Illinois,Greene,543.02,25.57
17063,Illinois,Grundy,418.04,119.76
17065,Illinois,Hamilton,434.67,19.46
17067,Illinois,Hancock,793.73,24.07
17069,Illinois,Hardin,177.53,24.33
17071,Illinois,Henderson,378.87,19.35
17073,Illinois,Henry,822.99,61.34
17075,Illinois,Iroquois,1117.32,26.60
17077,Illinois,Jackson,584.08,103.10
17079,Illinois,Jasper,494.51,19.61
17081,Illinois,Jefferson,571.17,67.98
17083,Illinois,Jersey,369.27,62.24
17085,Illinois,Jo Daviess,601.09,37.73
17087,Illinois,Johnson,343.91,36.58
17089,Illinois,Kane,520.06,990.79
17091,Illinois,Kankakee,676.56,167.69
