,countyfips,STNAME,CTYNAME,TOT_POP,PercentHBAC,dens2010,turnout,Q13,EQ_DRE with and without paper trail,EQ_DRE without paper trail,EQ_Mail,EQ_Paper and DRE with and without paper trail,EQ_Paper and DRE with paper trail,EQ_Paper and DRE without paper trail,EQ_Paper ballot
162,1117,Alabama,Shelby County,215707,0.0022437843927179,248.54,0.43258014827382274,1.0,0,0,0,0,0,0,1
163,1117,Alabama,Shelby County,215707,0.0022437843927179,248.54,0.43258014827382274,3.0,0,0,0,0,0,0,1
164,1117,Alabama,Shelby County,215707,0.0022437843927179,248.54,0.43258014827382274,1.0,0,0,0,0,0,0,1
165,1117,Alabama,Shelby County,215707,0.0022437843927179,248.54,0.43258014827382274,1.0,0,0,0,0,0,0,1
166,1117,Alabama,Shelby County,215707,0.0022437843927179,248.54,0.43258014827382274,5.0,0,0,0,0,0,0,1
167,1117,Alabama,Shelby County,215707,0.0022437843927179,248.54,0.43258014827382274,1.0,0,0,0,0,0,0,1
168,1123,Alabama,Tallapoosa County,40497,0.004741091932735758,58.08,0.43258014827382274,1.0,0,0,0,0,0,0,1
169,1123,Alabama,Tallapoosa County,40497,0.004741091932735758,58.08,0.43258014827382274,2.0,0,0,0,0,0,0,1
170,1125,Alabama,Tuscaloosa County,208911,0.0028002355069862285,147.27,0.43258014827382274,3.0,0,0,0,0,0,0,1
171,1125,Alabama,Tuscaloosa County,208911,0.0028002355069862285,147.27,0.43258014827382274,4.0,0,0,0,0,0,0,1
172,1125,Alabama,Tuscaloosa County,208911,0.0028002355069862285,147.27,0.43258014827382274,1.0,0,0,0,0,0,0,1
173,1127,Alabama,Walker County,63711,0.0017108505595580042,84.71,0.43258014827382274,1.0,0,0,0,0,0,0,1
174,1127,Alabama,Walker County,63711,0.0017108505595580042,84.71,0.43258014827382274,1.0,0,0,0,0,0,0,1
175,2016,Alaska,Aleutians West Census Area,5723,0.006989341254586755,1.27,0.43406966193552604,2.0,0,0,0,0,1,0,0
176,2016,Alaska,Aleutians West Census Area,5723,0.006989341254586755,1.27,0.43406966193552604,1.0,0,0,0,0,1,0,0
177,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,2.0,0,0,0,0,1,0,0
178,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,2.0,0,0,0,0,1,0,0
179,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,2.0,0,0,0,0,1,0,0
180,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,2.0,0,0,0,0,1,0,0
181,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,4.0,0,0,0,0,1,0,0
182,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,2.0,0,0,0,0,1,0,0
183,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,3.0,0,0,0,0,1,0,0
184,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,2.0,0,0,0,0,1,0,0
185,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,2.0,0,0,0,0,1,0,0
186,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,3.0,0,0,0,0,1,0,0
187,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,3.0,0,0,0,0,1,0,0
188,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,2.0,0,0,0,0,1,0,0
189,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,4.0,0,0,0,0,1,0,0
190,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,4.0,0,0,0,0,1,0,0
191,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,1.0,0,0,0,0,1,0,0
192,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,3.0,0,0,0,0,1,0,0
193,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,2.0,0,0,0,0,1,0,0
194,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,2.0,0,0,0,0,1,0,0
195,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,2.0,0,0,0,0,1,0,0
196,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,3.0,0,0,0,0,1,0,0
197,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,1.0,0,0,0,0,1,0,0
198,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,3.0,0,0,0,0,1,0,0
199,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,1.0,0,0,0,0,1,0,0
200,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,2.0,0,0,0,0,1,0,0
201,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,2.0,0,0,0,0,1,0,0
202,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,1.0,0,0,0,0,1,0,0
203,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,2.0,0,0,0,0,1,0,0
204,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,2.0,0,0,0,0,1,0,0
205,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,1.0,0,0,0,0,1,0,0
206,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,1.0,0,0,0,0,1,0,0
207,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,1.0,0,0,0,0,1,0,0
208,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,1.0,0,0,0,0,1,0,0
209,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,1.0,0,0,0,0,1,0,0
210,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,2.0,0,0,0,0,1,0,0
211,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,3.0,0,0,0,0,1,0,0
212,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,3.0,0,0,0,0,1,0,0
213,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,1.0,0,0,0,0,1,0,0
214,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,3.0,0,0,0,0,1,0,0
215,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,1.0,0,0,0,0,1,0,0
216,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,3.0,0,0,0,0,1,0,0
217,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,3.0,0,0,0,0,1,0,0
218,2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,0.43406966193552604,4.0,0,0,0,0,1,0,0
